GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
comdirect-rest-api,eu.wuttke.comdirect.account,AccountService,57,61,3,1,9,8,3,3,1,3
comdirect-rest-api,eu.wuttke.comdirect.account,AccountsPage,3,14,0,0,1,6,1,4,1,4
comdirect-rest-api,eu.wuttke.comdirect.account,Account,24,35,0,0,8,17,8,9,8,9
comdirect-rest-api,eu.wuttke.comdirect.account,TransactionsPage,24,0,0,0,10,0,7,0,7,0
comdirect-rest-api,eu.wuttke.comdirect.account,Transaction,101,0,0,0,43,0,29,0,29,0
comdirect-rest-api,eu.wuttke.comdirect.account,TransactionAggregation,38,0,0,0,16,0,11,0,11,0
comdirect-rest-api,eu.wuttke.comdirect.account,BankContact,24,0,0,0,10,0,7,0,7,0
comdirect-rest-api,eu.wuttke.comdirect.account,AccountBalance,18,27,0,0,6,13,6,7,6,7
comdirect-rest-api,eu.wuttke.comdirect.value,PageIndex,6,11,0,0,2,5,2,3,2,3
comdirect-rest-api,eu.wuttke.comdirect.value,Amount,6,11,0,0,2,5,2,3,2,3
comdirect-rest-api,eu.wuttke.comdirect.value,CodedValue,6,11,0,0,2,5,2,3,2,3
comdirect-rest-api,eu.wuttke.comdirect.cli,ComdirectTransactionsApp,87,0,0,0,19,0,2,0,2,0
comdirect-rest-api,eu.wuttke.comdirect.login,Tokens,6,15,0,0,2,6,2,2,2,2
comdirect-rest-api,eu.wuttke.comdirect.login,InitiateLoginService,303,0,8,0,48,0,10,0,6,0
comdirect-rest-api,eu.wuttke.comdirect.login,ComdirectSession,0,15,0,0,0,6,0,3,0,3
comdirect-rest-api,eu.wuttke.comdirect.login,LoginCredentials,27,0,0,0,10,0,5,0,5,0
comdirect-rest-api,eu.wuttke.comdirect.login,FinalizeLoginService,210,0,4,0,32,0,6,0,4,0
comdirect-rest-api,eu.wuttke.comdirect.login,InitiateLoginResult,33,0,0,0,12,0,6,0,6,0
comdirect-rest-api,eu.wuttke.comdirect.login,ChallengeType,58,0,6,0,11,0,5,0,2,0
comdirect-rest-api,eu.wuttke.comdirect.util,BaseComdirectService,20,40,2,0,4,11,2,3,1,3
comdirect-rest-api,eu.wuttke.comdirect.util,SimpleHttpClient,67,0,0,0,14,0,5,0,5,0
comdirect-rest-api,eu.wuttke.comdirect.util,ComdirectException,16,0,0,0,6,0,3,0,3,0
comdirect-rest-api,eu.wuttke.comdirect.util,SimpleHttpResponse,3,18,0,0,1,7,1,3,1,3
